BlockId,sequence
blk_-3544583377289625738,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 8, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 6, 6, 5, 5, 5, 15]"
blk_-8531310335568756456,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 10, 10, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 8, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_3947106522258141922,"[1, 1, 7, 1, 3, 4, 3, 4, 2, 2, 3, 4, 2, 10, 10, 10, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 8, 9, 9, 9, 9, 9, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_7956543127401791181,"[1, 1, 7, 1, 4, 3, 4, 2, 2, 3, 4, 3, 2, 10, 10, 10, 9, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 6, 6, 6, 5, 5, 15, 5]"
blk_-3102267849859399193,"[1, 1, 7, 24, 3, 30, 22, 23]"
blk_872694497849122755,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 10, 10, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 8, 9, 9, 9, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_8135292087230413975,"[1, 1, 1, 7, 3, 3, 4, 4, 3, 4, 2, 2, 2, 10, 10, 10, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 8, 6, 6, 6, 5, 5, 5, 15]"
blk_-2126554733521224025,"[1, 7, 1, 1, 3, 4, 3, 4, 3, 4, 2, 2, 2, 10, 10, 10, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 8, 9, 9, 9, 9, 6, 6, 6, 5, 5, 18, 2, 5]"
blk_8482590428431422891,"[1, 1, 1, 7, 3, 4, 3, 4, 2, 2, 3, 4, 2, 10, 10, 9, 9, 8, 10, 6, 6, 6, 5, 5, 5, 15]"
blk_8603591900851525088,"[1, 1, 1, 7, 3, 4, 3, 4, 2, 3, 4, 2, 2, 10, 10, 9, 8, 9, 10, 6, 6, 6, 5, 15, 5, 5]"
